[     368ms] [WARNING] The PerformanceObserver does not support buffered flag with the entryTypes argument. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:1196
[     712ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     862ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     864ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     864ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     865ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     865ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     866ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     866ms] [WARNING] No ID or name found in config. @ https://www.gstatic.com/_/pantheon/_/js/k=pantheon.pantheon_module_set.en_GB.s6QHCbzVm8U.es5.O/am=AAAAAAA4AAAAAAAALA/d=1/rs=ADqnUbPuQ9b-IIxl8pJFCHhNXEo-9SagnQ/m=core:4124
[     995ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/CONSOLE_PINS/keys/CLOUD?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1054ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PAN_CORE_ACCESSIBILITY_KEYBOARD_SHORTCUTS?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
[    1204ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://cloudusersettings-pa.clients6.google.com/v1alpha1/settings/PIPELINES_AND_CONNECTIONS_OPT_IN?key=AIzaSyCI-zsRP85UVOi0DjtiCwWBwQ1djDy741g:0
